line_id	status	reason	n_candidates	n_atoms	n_sites
VERG-aene.1.153	correct		10	15	0
VERG-aene.1.154	correct		5	17	1
VERG-aene.1.155	correct		70	18	4
VERG-aene.1.156	correct		30	15	1
VERG-aene.1.157	correct		30	19	5
VERG-aene.1.158	correct		224	17	4
VERG-aene.1.159	correct		10	14	0
VERG-aene.1.160	correct		6	17	1
VERG-aene.1.161	correct		20	16	1
VERG-aene.1.162	correct		38	16	2
VERG-aene.1.163	correct		16	15	1
VERG-aene.1.164	correct		13	18	3
VERG-aene.1.165	correct		80	16	3
VERG-aene.1.166	correct		30	16	2
VERG-aene.1.167	correct		60	16	3
VERG-aene.1.168	correct		35	15	2
VERG-aene.1.169	correct		10	15	0
VERG-aene.1.170	correct		276	16	5
VERG-aene.1.171	correct		10	15	0
VERG-aene.1.172	correct		160	15	4
VERG-aene.1.173	correct		10	14	0
VERG-aene.1.174	correct		30	15	1
VERG-aene.1.175	correct		155	16	3
VERG-aene.1.176	correct		74	16	3
VERG-aene.1.177	correct		259	17	4
VERG-aene.1.178	correct		15	14	1
VERG-aene.1.179	correct		10	14	0
VERG-aene.1.180	correct		182	17	4
VERG-aene.1.181	correct		20	15	1
VERG-aene.1.182	correct		231	15	4
VERG-aene.1.183	correct		40	17	3
VERG-aene.1.184	correct		210	16	4
VERG-aene.1.185	correct		30	15	1
VERG-aene.1.186	correct		25	14	1
VERG-aene.1.187	correct		5	16	0
VERG-aene.1.188	correct		18	16	2
VERG-aene.1.189	correct		70	16	2
VERG-aene.1.190	correct		48	15	2
VERG-aene.1.191	correct		50	16	2
VERG-aene.1.192	correct		254	15	4
VERG-aene.1.193	correct		42	19	4
VERG-aene.1.194	correct		20	15	1
VERG-aene.1.195	correct		2	18	2
VERG-aene.1.196	correct		58	18	4
VERG-aene.1.197	correct		78	17	4
VERG-aene.1.198	correct		43	18	3
VERG-aene.1.199	correct		20	16	2
VERG-aene.1.200	correct		64	16	3
VERG-aene.1.201	correct		30	14	2
VERG-aene.1.202	correct		60	18	4
VERG-aene.1.203	correct		78	18	4
VERG-aene.1.204	correct		30	14	2
VERG-aene.1.205	gold_unreachable	elision_mismatch	20	15	1
VERG-aene.1.206	correct		20	15	1
VERG-aene.1.207	correct		55	15	2
VERG-aene.1.208	correct		254	17	4
VERG-aene.1.209	correct		30	15	1
VERG-aene.1.210	gold_unreachable	elision_mismatch	40	17	3
VERG-aene.1.211	correct		20	15	1
VERG-aene.1.212	correct		15	16	1
VERG-aene.1.213	correct		118	17	4
VERG-aene.1.214	correct		84	15	3
VERG-aene.1.215	correct		40	15	2
VERG-aene.1.216	correct		24	18	3
VERG-aene.1.217	correct		15	14	1
VERG-aene.1.218	correct		423	17	5
VERG-aene.1.219	correct		1836	18	7
VERG-aene.1.220	correct		406	17	6
VERG-aene.1.221	correct		20	15	1
VERG-aene.1.222	correct		35	15	2
VERG-aene.1.223	correct		41	16	2
VERG-aene.1.224	correct		560	17	5
VERG-aene.1.225	correct		27	17	2
VERG-aene.1.226	correct		30	16	2
VERG-aene.1.227	correct		25	14	1
VERG-aene.1.228	correct		30	16	2
VERG-aene.1.229	correct		30	16	2
VERG-aene.1.230	correct		35	16	2
VERG-aene.1.231	correct		46	15	3
VERG-aene.1.232	correct		30	15	2
VERG-aene.1.233	correct		29	16	2
VERG-aene.1.234	correct		146	15	3
VERG-aene.1.235	correct		202	18	5
VERG-aene.1.236	correct		20	15	1
VERG-aene.1.237	correct		82	16	3
VERG-aene.1.238	correct		85	16	3
VERG-aene.1.239	correct		30	14	2
VERG-aene.1.240	correct		55	15	2
VERG-aene.1.241	correct		10	14	0
VERG-aene.1.242	correct		105	16	4
VERG-aene.1.243	correct		14	17	2
VERG-aene.1.244	correct		77	17	3
VERG-aene.1.245	correct		110	16	3
VERG-aene.1.246	correct		8	18	2
VERG-aene.1.247	correct		259	18	5
VERG-aene.1.248	correct		100	16	3
VERG-aene.1.249	gold_unreachable	elision_mismatch	5	13	0
VERG-aene.1.250	correct		64	17	4
VERG-aene.1.251	correct		196	16	4
VERG-aene.1.252	correct		27	17	2
VERG-aene.1.253	correct		40	15	2
VERG-aene.1.254	correct		40	15	2
VERG-aene.1.255	correct		14	14	1
VERG-aene.1.256	correct		83	17	4
VERG-aene.1.257	correct		35	16	2
VERG-aene.1.258	correct		89	16	3
VERG-aene.1.259	correct		112	17	4
VERG-aene.1.260	correct		426	17	5
VERG-aene.1.261	correct		17	17	2
VERG-aene.1.262	correct		378	17	5
VERG-aene.1.263	correct		27	17	2
VERG-aene.1.264	correct		82	15	3
VERG-aene.1.265	correct		196	16	4
VERG-aene.1.266	correct		15	16	1
VERG-aene.1.267	correct		51	15	3
VERG-aene.1.268	correct		15	16	1
VERG-aene.1.269	correct		15	14	1
VERG-aene.1.270	correct		964	17	6
VERG-aene.1.271	correct		36	14	2
VERG-aene.1.272	correct		5	13	0
VERG-aene.1.273	correct		20	15	1
VERG-aene.1.274	correct		46	17	3
VERG-aene.1.275	correct		92	17	4
VERG-aene.1.276	correct		332	17	5
VERG-aene.1.277	correct		70	16	3
VERG-aene.1.278	correct		10	14	0
VERG-aene.1.279	correct		50	16	2
VERG-aene.1.280	correct		11	17	2
VERG-aene.1.281	correct		280	18	5
VERG-aene.1.282	correct		10	14	0
VERG-aene.1.283	correct		70	16	3
VERG-aene.1.284	correct		20	15	1
VERG-aene.1.285	correct		11	17	2
VERG-aene.1.286	correct		20	15	1
VERG-aene.1.287	correct		220	16	4
VERG-aene.1.288	gold_unreachable	elision_mismatch	6	13	1
VERG-aene.1.289	correct		132	17	4
VERG-aene.1.290	correct		155	16	3
VERG-aene.1.291	correct		12	16	1
VERG-aene.1.292	correct		20	15	1
VERG-aene.1.293	correct		39	16	2
VERG-aene.1.294	correct		57	16	3
VERG-aene.1.295	correct		966	18	6
VERG-aene.1.296	correct		20	15	1
VERG-aene.1.297	correct		35	16	2
VERG-aene.1.298	correct		227	19	6
VERG-aene.1.299	correct		100	15	4
VERG-aene.1.300	correct		9	16	1
VERG-aene.1.301	correct		150	19	5
VERG-aene.1.302	correct		105	16	3
VERG-aene.1.303	correct		160	15	3
VERG-aene.1.304	correct		18	16	2
VERG-aene.1.305	correct		298	16	5
VERG-aene.1.306	correct		10	14	0
VERG-aene.1.307	correct		210	16	4
VERG-aene.1.308	correct		147	18	4
VERG-aene.1.309	correct		80	18	4
VERG-aene.1.310	correct		152	17	4
VERG-aene.1.311	correct		120	17	4
VERG-aene.1.312	correct		7	17	1
VERG-aene.1.313	correct		15	14	1
VERG-aene.1.314	correct		56	17	3
VERG-aene.1.315	correct		5	16	0
VERG-aene.1.316	correct		71	15	3
VERG-aene.1.317	correct		372	18	6
VERG-aene.1.318	correct		34	17	2
VERG-aene.1.319	correct		60	15	2
VERG-aene.1.320	correct		20	15	1
VERG-aene.1.321	correct		422	17	6
VERG-aene.1.322	correct		25	14	1
VERG-aene.1.323	correct		26	17	3
VERG-aene.1.324	correct		40	15	2
VERG-aene.1.325	correct		40	15	2
VERG-aene.1.326	correct		86	18	4
VERG-aene.1.327	correct		386	16	4
VERG-aene.1.328	correct		20	15	1
VERG-aene.1.329	correct		16	15	1
VERG-aene.1.330	correct		94	16	4
VERG-aene.1.331	correct		17	15	1
VERG-aene.1.333	correct		25	14	1
VERG-aene.1.334	correct		416	17	5
VERG-aene.1.335	correct		12	16	1
VERG-aene.1.336	correct		40	15	2
VERG-aene.1.337	correct		55	15	2
VERG-aene.1.338	correct		27	17	2
VERG-aene.1.339	correct		20	15	1
VERG-aene.1.340	correct		35	16	2
VERG-aene.1.341	correct		378	17	5
VERG-aene.1.342	correct		15	14	1
VERG-aene.1.343	correct		224	17	5
VERG-aene.1.344	correct		56	17	3
VERG-aene.1.345	correct		50	16	2
VERG-aene.1.346	correct		10	15	0
VERG-aene.1.347	correct		406	18	5
VERG-aene.1.348	correct		70	16	3
VERG-aene.1.349	correct		231	18	5
VERG-aene.1.350	correct		35	16	2
VERG-aene.1.351	correct		342	17	6
VERG-aene.1.352	correct		10	15	0
VERG-aene.1.353	correct		30	15	1
VERG-aene.1.354	correct		15	16	1
VERG-aene.1.355	correct		10	14	0
VERG-aene.1.356	correct		32	17	3
VERG-aene.1.357	correct		70	18	4
VERG-aene.1.358	correct		856	17	6
VERG-aene.1.359	correct		80	16	3
VERG-aene.1.360	correct		20	15	1
VERG-aene.1.361	correct		58	18	4
VERG-aene.1.362	correct		57	19	5
VERG-aene.1.363	correct		170	18	5
VERG-aene.1.364	correct		15	16	1
VERG-aene.1.365	correct		70	16	3
VERG-aene.1.366	correct		185	18	5
VERG-aene.1.367	correct		10	14	0
VERG-aene.1.368	correct		15	14	1
VERG-aene.1.369	correct		17	15	1
VERG-aene.1.370	correct		40	17	3
VERG-aene.1.371	correct		25	14	1
VERG-aene.1.372	correct		15	16	1
VERG-aene.1.373	correct		68	16	3
VERG-aene.1.374	correct		30	15	2
VERG-aene.1.375	correct		292	15	4
VERG-aene.1.376	correct		235	17	5
VERG-aene.1.377	correct		20	15	1
VERG-aene.1.378	correct		169	16	4
VERG-aene.1.379	correct		41	16	2
VERG-aene.1.380	correct		572	19	7
VERG-aene.1.381	correct		112	16	4
VERG-aene.1.382	gold_unreachable	elision_mismatch	220	15	4
VERG-aene.1.383	gold_unreachable	open_syllable_length	87	17	4
VERG-aene.1.384	correct		134	17	4
VERG-aene.1.385	correct		259	17	4
VERG-aene.1.386	correct		55	16	2
VERG-aene.1.387	correct		33	19	5
VERG-aene.1.388	correct		105	16	3
VERG-aene.1.389	gold_unreachable	open_syllable_length	100	18	4
VERG-aene.1.390	correct		15	16	1
VERG-aene.1.391	correct		160	16	3
VERG-aene.1.392	correct		940	17	6
VERG-aene.1.393	correct		16	15	1
VERG-aene.1.394	correct		244	18	5
VERG-aene.1.395	correct		14	14	1
VERG-aene.1.396	correct		184	17	4
VERG-aene.1.397	correct		10	14	0
VERG-aene.1.398	correct		16	15	1
VERG-aene.1.399	correct		109	17	4
VERG-aene.1.400	correct		138	17	4
VERG-aene.1.401	correct		30	15	1
VERG-aene.1.402	correct		98	17	4
VERG-aene.1.403	correct		1876	19	8
VERG-aene.1.404	correct		31	15	2
VERG-aene.1.405	correct		1216	17	6
VERG-aene.1.406	correct		162	16	4
VERG-aene.1.407	correct		15	14	1
VERG-aene.1.408	correct		136	16	4
VERG-aene.1.409	correct		118	16	3
VERG-aene.1.410	correct		87	16	3
VERG-aene.1.411	correct		59	16	3
VERG-aene.1.412	correct		28	16	2
VERG-aene.1.413	correct		26	16	2
VERG-aene.1.414	correct		322	19	6
VERG-aene.1.415	correct		58	16	3
VERG-aene.1.416	correct		588	18	6
VERG-aene.1.417	correct		11	16	1
VERG-aene.1.418	correct		602	16	5
VERG-aene.1.419	correct		25	14	1
VERG-aene.1.420	correct		50	16	2
VERG-aene.1.421	correct		129	15	4
VERG-aene.1.422	correct		61	14	2
VERG-aene.1.423	correct		15	14	1
VERG-aene.1.424	correct		147	18	4
VERG-aene.1.425	correct		60	15	2
VERG-aene.1.426	correct		20	15	1
VERG-aene.1.427	correct		420	16	5
VERG-aene.1.428	correct		50	16	2
VERG-aene.1.429	correct		18	17	2
VERG-aene.1.430	correct		91	17	4
VERG-aene.1.431	correct		10	14	0
VERG-aene.1.432	correct		20	14	2
VERG-aene.1.433	correct		5	13	0
VERG-aene.1.434	correct		117	20	6
VERG-aene.1.435	correct		46	16	3
VERG-aene.1.436	correct		42	17	3
VERG-aene.1.437	correct		47	14	3
VERG-aene.1.438	correct		126	16	4
VERG-aene.1.439	correct		17	15	1
VERG-aene.1.440	correct		50	16	2
VERG-aene.1.441	correct		68	18	5
VERG-aene.1.442	correct		146	15	3
VERG-aene.1.443	correct		40	14	2
VERG-aene.1.444	correct		40	15	2
VERG-aene.1.445	correct		416	17	5
VERG-aene.1.446	correct		170	14	4
VERG-aene.1.447	correct		182	17	4
VERG-aene.1.449	correct		35	16	2
VERG-aene.1.450	correct		210	16	4
VERG-aene.1.451	correct		165	16	4
VERG-aene.1.452	correct		35	16	2
VERG-aene.1.453	correct		40	14	2
VERG-aene.1.454	correct		87	16	3
VERG-aene.1.455	correct		7	17	1
VERG-aene.1.456	correct		20	15	1
VERG-aene.1.457	correct		61	14	2
VERG-aene.1.458	correct		1644	18	7
VERG-aene.1.459	correct		10	16	1
VERG-aene.1.460	correct		220	16	4
VERG-aene.1.461	correct		366	18	6
VERG-aene.1.462	correct		178	16	4
VERG-aene.1.463	correct		1	19	2
VERG-aene.1.464	correct		50	16	2
VERG-aene.1.465	correct		85	15	2
VERG-aene.1.466	correct		30	15	1
VERG-aene.1.467	correct		196	16	4
VERG-aene.1.468	correct		10	14	0
VERG-aene.1.469	correct		330	16	5
VERG-aene.1.470	correct		32	15	2
VERG-aene.1.471	correct		47	14	3
VERG-aene.1.472	correct		344	16	5
VERG-aene.1.473	correct		17	15	1
VERG-aene.1.474	correct		196	16	4
VERG-aene.1.475	correct		110	15	3
VERG-aene.1.476	correct		14	17	2
VERG-aene.1.477	correct		3	19	3
VERG-aene.1.478	correct		96	15	3
VERG-aene.1.479	correct		176	17	5
VERG-aene.1.480	correct		40	15	2
VERG-aene.1.481	correct		32	15	2
VERG-aene.1.482	correct		106	17	4
VERG-aene.1.483	correct		159	17	4
VERG-aene.1.484	correct		38	16	2
VERG-aene.1.485	correct		225	16	3
VERG-aene.1.486	correct		160	16	3
VERG-aene.1.487	correct		20	15	1
VERG-aene.1.488	correct		249	18	5
VERG-aene.1.489	correct		280	15	5
VERG-aene.1.490	correct		10	15	0
VERG-aene.1.491	correct		77	17	3
VERG-aene.1.492	correct		97	17	4
VERG-aene.1.493	correct		260	15	4
VERG-aene.1.494	correct		1400	18	7
VERG-aene.1.495	correct		36	16	2
VERG-aene.1.496	correct		50	14	2
VERG-aene.1.497	correct		196	16	4
VERG-aene.1.498	correct		19	17	3
VERG-aene.1.499	correct		35	15	2
VERG-aene.1.500	correct		54	17	3
VERG-aene.1.501	correct		21	17	2
VERG-aene.1.502	correct		45	16	3
VERG-aene.1.503	correct		17	15	1
VERG-aene.1.504	correct		20	15	1
VERG-aene.1.505	correct		224	17	5
VERG-aene.1.506	correct		259	17	4
VERG-aene.1.507	correct		20	16	1
VERG-aene.1.508	correct		20	16	2
VERG-aene.1.509	correct		183	17	4
VERG-aene.1.510	correct		91	15	3
VERG-aene.1.511	correct		304	17	5
VERG-aene.1.512	correct		92	18	4
VERG-aene.1.513	correct		9	16	1
VERG-aene.1.514	correct		356	20	7
VERG-aene.1.515	correct		10	14	0
VERG-aene.1.516	correct		17	17	2
VERG-aene.1.517	correct		55	15	2
VERG-aene.1.518	correct		52	15	3
VERG-aene.1.519	correct		120	15	3
VERG-aene.1.520	correct		620	16	5
VERG-aene.1.521	correct		19	18	3
VERG-aene.1.522	correct		134	17	4
VERG-aene.1.523	correct		20	15	1
VERG-aene.1.524	correct		1656	16	6
VERG-aene.1.525	correct		96	16	3
VERG-aene.1.526	correct		154	17	4
VERG-aene.1.527	correct		9	16	1
VERG-aene.1.528	correct		63	17	3
VERG-aene.1.529	correct		340	16	4
VERG-aene.1.530	correct		35	15	2
VERG-aene.1.531	correct		104	17	3
VERG-aene.1.532	correct		210	16	4
VERG-aene.1.533	correct		20	15	1
VERG-aene.1.535	correct		55	15	2
VERG-aene.1.536	correct		2	19	3
VERG-aene.1.537	correct		34	17	2
VERG-aene.1.538	correct		292	16	5
VERG-aene.1.539	correct		80	18	4
VERG-aene.1.540	correct		196	18	5
VERG-aene.1.541	correct		55	15	2
VERG-aene.1.542	correct		50	16	2
VERG-aene.1.543	correct		50	16	2
VERG-aene.1.544	correct		129	15	4
VERG-aene.1.545	correct		31	15	2
VERG-aene.1.546	correct		301	16	4
VERG-aene.1.547	correct		70	18	4
VERG-aene.1.548	correct		35	15	2
VERG-aene.1.549	correct		56	17	3
VERG-aene.1.550	correct		20	16	1
VERG-aene.1.551	correct		36	14	2
VERG-aene.1.552	correct		16	15	1
VERG-aene.1.553	correct		35	16	2
VERG-aene.1.554	correct		70	18	4
VERG-aene.1.555	correct		30	16	2
VERG-aene.1.556	correct		31	15	2
VERG-aene.1.557	correct		30	16	2
VERG-aene.1.558	correct		50	16	2
VERG-aene.1.559	correct		15	17	2
VERG-aene.1.561	correct		82	15	3
VERG-aene.1.562	gold_unreachable	elision_mismatch	28	17	4
VERG-aene.1.563	correct		175	16	4
VERG-aene.1.564	correct		36	14	2
VERG-aene.1.565	correct		80	17	4
VERG-aene.1.566	correct		614	17	5
VERG-aene.1.567	correct		105	16	3
VERG-aene.1.568	correct		152	17	4
VERG-aene.1.569	correct		952	17	6
VERG-aene.1.570	correct		254	17	4
VERG-aene.1.571	correct		966	18	6
VERG-aene.1.572	correct		10	15	0
VERG-aene.1.573	correct		1036	16	6
VERG-aene.1.574	correct		100	16	3
VERG-aene.1.575	correct		50	16	2
VERG-aene.1.576	correct		29	16	2
VERG-aene.1.577	correct		2904	17	7
VERG-aene.1.578	correct		18	16	2
VERG-aene.1.579	correct		30	15	1
VERG-aene.1.580	correct		89	16	3
VERG-aene.1.581	correct		51	15	3
VERG-aene.1.582	correct		56	16	3
VERG-aene.1.583	correct		105	16	3
VERG-aene.1.584	correct		160	16	3
VERG-aene.1.585	correct		10	13	1
VERG-aene.1.586	correct		20	15	1
VERG-aene.1.587	correct		10	16	1
VERG-aene.1.588	correct		89	16	3
VERG-aene.1.589	correct		27	17	2
VERG-aene.1.590	correct		1344	18	7
VERG-aene.1.591	correct		26	17	3
VERG-aene.1.592	correct		19	18	3
VERG-aene.1.593	correct		56	17	3
VERG-aene.1.594	correct		60	15	2
VERG-aene.1.595	correct		194	16	5
VERG-aene.1.596	correct		30	15	2
VERG-aene.1.597	correct		36	16	2
VERG-aene.1.598	correct		47	16	3
VERG-aene.1.599	correct		40	17	3
VERG-aene.1.600	correct		35	16	2
VERG-aene.1.601	correct		90	16	3
VERG-aene.1.602	correct		49	16	3
VERG-aene.1.603	correct		20	15	1
VERG-aene.1.604	correct		521	17	5
VERG-aene.1.605	correct		45	18	4
VERG-aene.1.606	correct		35	16	2
VERG-aene.1.607	correct		70	16	3
VERG-aene.1.608	correct		40	15	2
VERG-aene.1.609	correct		25	16	2
VERG-aene.1.610	correct		87	16	3
VERG-aene.1.611	correct		446	17	6
VERG-aene.1.612	correct		56	15	3
VERG-aene.1.613	correct		80	15	3
VERG-aene.1.614	correct		288	17	4
VERG-aene.1.615	correct		20	15	1
VERG-aene.1.616	correct		68	16	3
VERG-aene.1.617	correct		2672	17	7
VERG-aene.1.618	correct		32	17	3
VERG-aene.1.619	correct		136	17	4
VERG-aene.1.620	correct		112	17	4
VERG-aene.1.621	correct		35	16	2
VERG-aene.1.622	correct		110	15	3
VERG-aene.1.623	correct		70	16	2
VERG-aene.1.624	correct		30	15	2
VERG-aene.1.625	correct		134	16	4
VERG-aene.1.626	correct		1724	17	6
VERG-aene.1.627	correct		294	18	5
VERG-aene.1.628	correct		10	15	0
VERG-aene.1.629	correct		130	15	3
VERG-aene.1.630	correct		10	15	0
VERG-aene.1.631	correct		56	16	3
VERG-aene.1.632	correct		70	15	3
VERG-aene.1.633	correct		35	16	2
VERG-aene.1.634	correct		82	15	3
VERG-aene.1.635	correct		30	14	2
VERG-aene.1.637	correct		20	15	1
VERG-aene.1.638	correct		50	16	3
VERG-aene.1.639	correct		94	15	3
VERG-aene.1.640	correct		85	16	3
VERG-aene.1.641	correct		70	16	3
VERG-aene.1.642	correct		65	17	3
VERG-aene.1.643	correct		364	17	5
VERG-aene.1.644	correct		51	18	4
VERG-aene.1.645	correct		160	18	5
VERG-aene.1.646	correct		20	15	1
VERG-aene.1.647	correct		230	18	5
VERG-aene.1.648	correct		46	15	2
VERG-aene.1.649	correct		40	14	2
VERG-aene.1.650	correct		183	18	5
VERG-aene.1.651	correct		77	17	3
VERG-aene.1.652	correct		34	15	2
VERG-aene.1.653	correct		364	17	5
VERG-aene.1.654	correct		20	15	1
VERG-aene.1.655	correct		68	16	3
VERG-aene.1.656	correct		49	17	3
VERG-aene.1.657	correct		672	18	6
VERG-aene.1.658	correct		72	17	3
VERG-aene.1.659	correct		320	16	4
VERG-aene.1.660	correct		140	16	3
VERG-aene.1.661	gold_unreachable	elision_mismatch	15	16	1
VERG-aene.1.662	correct		60	15	2
VERG-aene.1.663	correct		30	15	1
VERG-aene.1.664	correct		347	17	5
VERG-aene.1.665	gold_unreachable	elision_mismatch	20	14	1
VERG-aene.1.666	correct		220	16	4
VERG-aene.1.667	correct		106	17	4
VERG-aene.1.668	correct		105	16	3
VERG-aene.1.669	correct		86	17	4
VERG-aene.1.670	correct		16	15	1
VERG-aene.1.671	correct		254	15	4
VERG-aene.1.672	correct		86	16	3
VERG-aene.1.673	correct		20	16	1
VERG-aene.1.674	correct		10	14	0
VERG-aene.1.675	correct		278	17	5
VERG-aene.1.676	correct		60	15	2
VERG-aene.1.677	correct		20	15	1
VERG-aene.1.678	correct		56	17	3
VERG-aene.1.679	correct		77	17	3
VERG-aene.1.680	correct		10	15	0
VERG-aene.1.681	correct		70	16	3
VERG-aene.1.682	correct		72	17	3
VERG-aene.1.683	correct		308	15	5
VERG-aene.1.684	correct		574	17	5
VERG-aene.1.685	correct		122	17	4
VERG-aene.1.686	correct		56	15	3
VERG-aene.1.687	correct		100	16	3
VERG-aene.1.688	correct		61	14	2
VERG-aene.1.689	correct		20	16	2
VERG-aene.1.690	correct		19	14	2
VERG-aene.1.691	gold_unreachable	elision_mismatch	40	15	2
VERG-aene.1.692	correct		35	16	2
VERG-aene.1.693	correct		20	17	2
