line_id	status	reason	n_candidates	n_atoms	n_sites
VERG-aene.1.133	correct		22	16	3
VERG-aene.1.134	correct		13	15	2
VERG-aene.1.135	gold_unreachable	open_syllable_length	1	15	1
VERG-aene.1.136	correct		4	16	2
VERG-aene.1.137	correct		12	16	4
VERG-aene.1.138	correct		21	18	5
VERG-aene.1.139	correct		5	17	2
VERG-aene.1.140	correct		40	16	4
VERG-aene.1.141	correct		21	16	4
VERG-aene.1.142	correct		13	18	4
VERG-aene.1.143	correct		1	14	0
VERG-aene.1.144	gold_unreachable	elision_mismatch	2	15	1
VERG-aene.1.145	correct		30	17	5
VERG-aene.1.146	correct		2	15	1
VERG-aene.1.147	correct		4	16	2
VERG-aene.1.148	correct		6	18	4
VERG-aene.1.149	correct		99	18	6
VERG-aene.1.150	correct		6	16	2
VERG-aene.1.151	correct		42	18	5
VERG-aene.1.152	correct		2	16	2
VERG-aene.1.153	correct		1	15	0
VERG-aene.1.154	correct		1	17	1
VERG-aene.1.155	correct		16	18	4
VERG-aene.1.156	no_candidates	weight_filter	0	15	1
VERG-aene.1.157	correct		8	19	5
VERG-aene.1.158	correct		25	17	4
VERG-aene.1.159	correct		1	14	0
VERG-aene.1.160	correct		1	17	1
VERG-aene.1.161	correct		3	16	1
VERG-aene.1.162	correct		5	16	2
VERG-aene.1.163	correct		2	15	1
VERG-aene.1.164	correct		1	18	3
VERG-aene.1.165	no_candidates	weight_filter	0	16	3
VERG-aene.1.166	correct		2	16	2
VERG-aene.1.167	gold_unreachable	elision_mismatch	6	16	3
VERG-aene.1.168	no_candidates	weight_filter	0	15	2
VERG-aene.1.169	gold_unreachable	elision_mismatch	1	14	0
VERG-aene.1.170	correct		42	16	5
VERG-aene.1.171	correct		1	15	0
VERG-aene.1.172	gold_unreachable	elision_mismatch	12	15	4
VERG-aene.1.173	correct		1	14	0
VERG-aene.1.174	no_candidates	weight_filter	0	15	1
VERG-aene.1.175	correct		7	16	3
VERG-aene.1.176	no_candidates	vowel_chain	0	16	3
VERG-aene.1.177	gold_unreachable	elision_mismatch	8	17	4
VERG-aene.1.178	correct		3	14	1
VERG-aene.1.179	correct		1	14	0
VERG-aene.1.180	correct		9	17	4
VERG-aene.1.181	correct		6	15	1
VERG-aene.1.182	correct		48	15	4
VERG-aene.1.183	correct		2	17	3
VERG-aene.1.184	correct		12	16	4
VERG-aene.1.185	correct		4	15	1
VERG-aene.1.186	correct		2	14	1
VERG-aene.1.187	no_candidates	weight_filter	0	16	0
VERG-aene.1.188	no_candidates	vowel_chain	0	16	2
VERG-aene.1.189	correct		3	16	2
VERG-aene.1.190	correct		6	15	2
VERG-aene.1.191	correct		2	16	2
VERG-aene.1.192	correct		12	15	4
VERG-aene.1.193	no_candidates	vowel_chain	0	19	4
VERG-aene.1.194	correct		3	15	1
VERG-aene.1.195	correct		2	18	2
VERG-aene.1.196	no_candidates	vowel_chain	0	18	4
VERG-aene.1.197	correct		8	17	4
VERG-aene.1.198	correct		6	18	3
VERG-aene.1.199	no_candidates	vowel_chain	0	16	2
VERG-aene.1.200	correct		8	16	3
VERG-aene.1.201	correct		7	14	2
VERG-aene.1.202	correct		10	18	4
VERG-aene.1.203	no_candidates	vowel_chain	0	18	4
VERG-aene.1.204	correct		15	14	2
VERG-aene.1.205	gold_unreachable	elision_mismatch	4	15	1
VERG-aene.1.206	correct		1	15	1
VERG-aene.1.207	correct		15	15	2
VERG-aene.1.208	correct		10	17	4
VERG-aene.1.209	correct		3	15	1
VERG-aene.1.210	gold_unreachable	open_syllable_length	7	17	3
VERG-aene.1.211	correct		6	15	1
VERG-aene.1.212	correct		2	16	1
VERG-aene.1.213	correct		16	17	4
VERG-aene.1.214	gold_unreachable	elision_mismatch	2	15	3
VERG-aene.1.215	correct		2	15	2
VERG-aene.1.216	correct		3	18	3
VERG-aene.1.217	no_candidates	weight_filter	0	14	1
VERG-aene.1.218	correct		65	17	5
VERG-aene.1.219	correct		388	17	6
VERG-aene.1.220	gold_unreachable	elision_mismatch	40	16	5
VERG-aene.1.221	correct		8	15	1
VERG-aene.1.222	correct		4	15	2
VERG-aene.1.223	correct		4	16	2
VERG-aene.1.224	correct		69	17	5
VERG-aene.1.225	gold_unreachable	other	1	17	2
VERG-aene.1.226	correct		30	16	2
VERG-aene.1.227	correct		1	14	1
VERG-aene.1.228	correct		6	16	2
VERG-aene.1.229	no_candidates	vowel_chain	0	16	2
VERG-aene.1.230	correct		3	16	2
VERG-aene.1.231	correct		14	15	3
VERG-aene.1.232	gold_unreachable	elision_mismatch	10	15	2
VERG-aene.1.233	correct		3	16	2
VERG-aene.1.234	correct		32	15	3
VERG-aene.1.235	correct		90	18	5
VERG-aene.1.236	gold_unreachable	elision_mismatch	1	15	1
VERG-aene.1.237	correct		12	16	3
VERG-aene.1.238	no_candidates	weight_filter	0	16	3
VERG-aene.1.239	correct		17	14	2
VERG-aene.1.240	correct		8	15	2
VERG-aene.1.241	no_candidates	vowel_chain	0	14	0
VERG-aene.1.242	gold_unreachable	elision_mismatch	11	16	4
VERG-aene.1.243	correct		1	17	2
VERG-aene.1.244	correct		12	17	3
VERG-aene.1.245	correct		34	15	3
VERG-aene.1.246	correct		1	18	2
VERG-aene.1.247	correct		27	18	5
VERG-aene.1.248	no_candidates	vowel_chain	0	16	3
VERG-aene.1.249	gold_unreachable	elision_mismatch	2	13	0
VERG-aene.1.250	correct		42	17	4
VERG-aene.1.251	correct		54	16	4
VERG-aene.1.252	correct		8	17	2
VERG-aene.1.253	gold_unreachable	elision_mismatch	2	15	2
VERG-aene.1.254	correct		6	15	2
VERG-aene.1.255	correct		3	14	1
VERG-aene.1.256	correct		20	17	4
VERG-aene.1.257	gold_unreachable	elision_mismatch	5	16	2
VERG-aene.1.258	correct		2	16	3
VERG-aene.1.259	correct		13	17	4
VERG-aene.1.260	no_candidates	vowel_chain	0	17	5
VERG-aene.1.261	correct		2	17	2
VERG-aene.1.262	correct		53	17	5
VERG-aene.1.263	correct		4	17	2
VERG-aene.1.264	correct		13	15	3
VERG-aene.1.265	correct		36	16	4
VERG-aene.1.266	no_candidates	vowel_chain	0	16	1
VERG-aene.1.267	gold_unreachable	elision_mismatch	16	15	3
VERG-aene.1.268	correct		3	16	1
VERG-aene.1.269	correct		2	14	1
VERG-aene.1.270	correct		138	17	6
VERG-aene.1.271	correct		16	14	2
VERG-aene.1.272	correct		2	13	0
VERG-aene.1.273	gold_unreachable	other	4	15	1
VERG-aene.1.274	correct		14	17	3
VERG-aene.1.275	correct		41	17	4
VERG-aene.1.276	correct		26	17	5
VERG-aene.1.277	correct		44	16	3
VERG-aene.1.278	correct		3	14	0
VERG-aene.1.279	correct		10	16	2
VERG-aene.1.280	correct		2	17	2
VERG-aene.1.281	correct		36	18	5
VERG-aene.1.282	correct		3	14	0
VERG-aene.1.283	correct		22	16	3
VERG-aene.1.284	correct		3	15	1
VERG-aene.1.285	correct		2	17	2
VERG-aene.1.286	correct		4	15	1
VERG-aene.1.287	correct		72	16	4
VERG-aene.1.288	gold_unreachable	elision_mismatch	3	13	1
VERG-aene.1.289	correct		64	17	4
VERG-aene.1.290	gold_unreachable	elision_mismatch	6	16	3
VERG-aene.1.291	correct		4	16	1
VERG-aene.1.292	no_candidates	weight_filter	0	15	1
VERG-aene.1.293	correct		2	16	2
VERG-aene.1.294	correct		2	16	3
VERG-aene.1.295	correct		36	18	6
VERG-aene.1.296	no_candidates	weight_filter	0	15	1
VERG-aene.1.297	correct		6	16	2
VERG-aene.1.298	correct		72	18	6
VERG-aene.1.299	correct		60	15	4
VERG-aene.1.300	correct		2	16	1
VERG-aene.1.301	correct		76	19	5
VERG-aene.1.302	correct		8	16	3
VERG-aene.1.303	gold_unreachable	elision_mismatch	30	15	3
VERG-aene.1.304	correct		3	16	2
VERG-aene.1.305	correct		83	16	5
VERG-aene.1.306	gold_unreachable	elision_mismatch	3	13	0
VERG-aene.1.307	correct		18	16	4
VERG-aene.1.308	correct		6	18	4
VERG-aene.1.309	correct		12	18	4
VERG-aene.1.310	correct		34	17	4
VERG-aene.1.311	correct		4	17	4
VERG-aene.1.312	no_candidates	vowel_chain	0	17	1
VERG-aene.1.313	correct		11	14	1
VERG-aene.1.314	correct		31	17	3
VERG-aene.1.315	correct		1	16	0
VERG-aene.1.316	correct		13	15	3
VERG-aene.1.317	gold_unreachable	elision_mismatch	6	18	6
VERG-aene.1.318	correct		6	17	2
VERG-aene.1.319	correct		6	15	2
VERG-aene.1.320	gold_unreachable	elision_mismatch	2	15	1
VERG-aene.1.321	gold_unreachable	elision_mismatch	27	17	6
VERG-aene.1.322	correct		1	14	1
VERG-aene.1.323	correct		2	17	3
VERG-aene.1.324	correct		2	15	2
VERG-aene.1.325	correct		12	15	2
VERG-aene.1.326	gold_unreachable	elision_mismatch	8	18	4
VERG-aene.1.327	correct		6	16	4
VERG-aene.1.328	correct		3	15	1
VERG-aene.1.329	correct		2	15	1
VERG-aene.1.330	correct		8	16	4
VERG-aene.1.331	correct		2	15	1
VERG-aene.1.333	correct		2	14	1
VERG-aene.1.334	correct		44	17	5
VERG-aene.1.335	no_candidates	weight_filter	0	16	1
VERG-aene.1.336	gold_unreachable	open_syllable_length	6	15	2
VERG-aene.1.337	correct		7	15	2
VERG-aene.1.338	correct		21	17	2
VERG-aene.1.339	correct		7	15	1
VERG-aene.1.340	correct		15	16	2
VERG-aene.1.341	correct		45	17	5
VERG-aene.1.342	gold_unreachable	elision_mismatch	1	14	1
VERG-aene.1.343	correct		16	17	5
VERG-aene.1.344	correct		6	17	3
VERG-aene.1.345	correct		3	16	2
VERG-aene.1.346	no_candidates	vowel_chain	0	15	0
VERG-aene.1.347	correct		63	18	5
VERG-aene.1.348	gold_unreachable	elision_mismatch	2	16	3
VERG-aene.1.349	correct		54	18	5
VERG-aene.1.350	correct		4	16	2
VERG-aene.1.351	correct		132	17	6
VERG-aene.1.352	correct		4	15	0
VERG-aene.1.353	gold_unreachable	elision_mismatch	3	15	1
VERG-aene.1.354	correct		1	16	1
VERG-aene.1.355	gold_unreachable	open_syllable_length	3	14	0
VERG-aene.1.356	correct		8	17	3
VERG-aene.1.357	correct		3	18	4
VERG-aene.1.358	correct		105	17	6
VERG-aene.1.359	correct		2	16	3
VERG-aene.1.360	correct		5	15	1
VERG-aene.1.361	correct		18	18	4
VERG-aene.1.362	correct		13	19	5
VERG-aene.1.363	correct		8	18	5
VERG-aene.1.364	correct		5	16	1
VERG-aene.1.365	correct		21	16	3
VERG-aene.1.366	correct		15	18	5
VERG-aene.1.367	correct		3	14	0
VERG-aene.1.368	correct		2	14	1
VERG-aene.1.369	correct		2	15	1
VERG-aene.1.370	correct		16	16	2
VERG-aene.1.371	correct		3	14	1
VERG-aene.1.372	correct		8	16	1
VERG-aene.1.373	correct		8	16	3
VERG-aene.1.374	correct		4	15	2
VERG-aene.1.375	correct		48	15	4
VERG-aene.1.376	gold_unreachable	elision_mismatch	33	17	5
VERG-aene.1.377	correct		8	15	1
VERG-aene.1.378	correct		33	16	4
VERG-aene.1.379	correct		19	16	2
VERG-aene.1.380	correct		48	18	6
VERG-aene.1.381	correct		17	16	4
VERG-aene.1.382	gold_unreachable	elision_mismatch	46	15	4
VERG-aene.1.383	no_candidates	vowel_chain	0	17	4
VERG-aene.1.384	correct		18	17	4
VERG-aene.1.385	gold_unreachable	elision_mismatch	4	17	4
VERG-aene.1.386	correct		12	16	2
VERG-aene.1.387	no_candidates	vowel_chain	0	19	5
VERG-aene.1.388	correct		42	16	3
VERG-aene.1.389	gold_unreachable	open_syllable_length	20	18	4
VERG-aene.1.390	correct		3	16	1
VERG-aene.1.391	gold_unreachable	elision_mismatch	16	16	3
VERG-aene.1.392	correct		336	17	6
VERG-aene.1.393	correct		4	15	1
VERG-aene.1.394	correct		22	18	5
VERG-aene.1.395	correct		2	14	1
VERG-aene.1.396	correct		3	17	4
VERG-aene.1.397	gold_unreachable	elision_mismatch	2	13	0
VERG-aene.1.398	correct		2	15	1
VERG-aene.1.399	correct		15	17	4
VERG-aene.1.400	correct		26	17	4
VERG-aene.1.401	gold_unreachable	elision_mismatch	9	15	1
VERG-aene.1.402	correct		37	17	4
VERG-aene.1.403	correct		388	19	8
VERG-aene.1.404	correct		11	15	2
VERG-aene.1.405	correct		96	17	6
VERG-aene.1.406	correct		38	16	4
VERG-aene.1.407	gold_unreachable	open_syllable_length	2	14	1
VERG-aene.1.408	correct		32	16	4
VERG-aene.1.409	correct		56	16	3
VERG-aene.1.410	correct		3	16	3
VERG-aene.1.411	correct		24	16	3
VERG-aene.1.412	correct		3	16	2
VERG-aene.1.413	correct		2	16	2
VERG-aene.1.414	correct		54	18	5
VERG-aene.1.415	no_candidates	vowel_chain	0	16	3
VERG-aene.1.416	correct		33	18	6
VERG-aene.1.417	no_candidates	vowel_chain	0	16	1
VERG-aene.1.418	correct		130	16	5
VERG-aene.1.419	correct		6	14	1
VERG-aene.1.420	correct		3	16	2
VERG-aene.1.421	gold_unreachable	elision_mismatch	29	15	4
VERG-aene.1.422	correct		7	14	2
VERG-aene.1.423	correct		3	14	1
VERG-aene.1.424	correct		4	18	4
VERG-aene.1.425	correct		3	15	2
VERG-aene.1.426	correct		3	15	1
VERG-aene.1.427	gold_unreachable	elision_mismatch	16	16	5
VERG-aene.1.428	correct		4	16	2
VERG-aene.1.429	correct		2	17	2
VERG-aene.1.430	correct		50	17	4
VERG-aene.1.431	correct		1	14	0
VERG-aene.1.432	correct		5	14	2
VERG-aene.1.433	correct		1	13	0
VERG-aene.1.434	correct		8	20	6
VERG-aene.1.435	correct		30	16	3
VERG-aene.1.436	no_candidates	vowel_chain	0	17	3
VERG-aene.1.437	correct		11	14	3
VERG-aene.1.438	correct		82	16	4
VERG-aene.1.439	correct		3	15	1
VERG-aene.1.440	no_candidates	weight_filter	0	16	2
VERG-aene.1.441	correct		26	18	5
VERG-aene.1.442	correct		17	15	3
VERG-aene.1.443	correct		22	14	2
VERG-aene.1.444	no_candidates	weight_filter	0	15	2
VERG-aene.1.445	correct		16	17	5
VERG-aene.1.446	correct		53	14	4
VERG-aene.1.447	correct		13	17	4
VERG-aene.1.449	correct		12	16	2
VERG-aene.1.450	correct		102	16	4
VERG-aene.1.451	gold_unreachable	elision_mismatch	33	16	4
VERG-aene.1.452	correct		3	16	2
VERG-aene.1.453	correct		6	14	2
VERG-aene.1.454	correct		6	16	3
VERG-aene.1.455	correct		1	17	1
VERG-aene.1.456	correct		7	15	1
VERG-aene.1.457	gold_unreachable	elision_mismatch	8	14	2
VERG-aene.1.458	gold_unreachable	open_syllable_length	20	18	7
VERG-aene.1.459	no_candidates	weight_filter	0	16	1
VERG-aene.1.460	correct		12	16	4
VERG-aene.1.461	correct		55	18	6
VERG-aene.1.462	correct		15	16	4
VERG-aene.1.463	no_candidates	weight_filter	0	18	1
VERG-aene.1.464	correct		10	16	2
VERG-aene.1.465	correct		9	15	2
VERG-aene.1.466	correct		5	15	1
VERG-aene.1.467	correct		78	16	4
VERG-aene.1.468	gold_unreachable	open_syllable_length	1	14	0
VERG-aene.1.469	gold_unreachable	elision_mismatch	62	16	5
VERG-aene.1.470	correct		6	15	2
VERG-aene.1.471	correct		18	14	3
VERG-aene.1.472	gold_unreachable	elision_mismatch	11	16	5
VERG-aene.1.473	correct		2	15	1
VERG-aene.1.474	correct		59	16	4
VERG-aene.1.475	no_candidates	weight_filter	0	15	3
VERG-aene.1.476	no_candidates	vowel_chain	0	17	2
VERG-aene.1.477	no_candidates	weight_filter	0	19	3
VERG-aene.1.478	gold_unreachable	open_syllable_length	4	15	3
VERG-aene.1.479	correct		32	17	5
VERG-aene.1.480	correct		12	15	2
VERG-aene.1.481	correct		8	15	2
VERG-aene.1.482	correct		81	17	4
VERG-aene.1.483	gold_unreachable	elision_mismatch	9	17	4
VERG-aene.1.484	no_candidates	vowel_chain	0	16	2
VERG-aene.1.485	correct		6	16	3
VERG-aene.1.486	correct		6	15	3
VERG-aene.1.487	correct		3	15	1
VERG-aene.1.488	gold_unreachable	elision_mismatch	2	18	5
VERG-aene.1.489	correct		75	15	5
VERG-aene.1.490	correct		4	15	0
VERG-aene.1.491	correct		6	17	3
VERG-aene.1.492	correct		6	17	4
VERG-aene.1.493	correct		67	15	4
VERG-aene.1.494	correct		264	18	7
VERG-aene.1.495	correct		4	16	2
VERG-aene.1.496	correct		6	14	2
VERG-aene.1.497	correct		11	16	4
VERG-aene.1.498	correct		11	17	3
VERG-aene.1.499	gold_unreachable	elision_mismatch	2	15	2
VERG-aene.1.500	no_candidates	vowel_chain	0	17	3
VERG-aene.1.501	correct		6	17	2
VERG-aene.1.502	correct		6	16	3
VERG-aene.1.503	correct		7	15	1
VERG-aene.1.504	correct		4	15	1
VERG-aene.1.505	correct		224	17	5
VERG-aene.1.506	correct		2	17	4
VERG-aene.1.507	correct		8	16	1
VERG-aene.1.508	correct		3	16	2
VERG-aene.1.509	correct		18	17	4
VERG-aene.1.510	correct		12	15	3
VERG-aene.1.511	correct		64	17	5
VERG-aene.1.512	correct		48	18	4
VERG-aene.1.513	no_candidates	vowel_chain	0	16	1
VERG-aene.1.514	correct		108	20	7
VERG-aene.1.515	correct		3	14	0
VERG-aene.1.516	correct		4	17	2
VERG-aene.1.517	correct		7	15	2
VERG-aene.1.518	correct		11	15	3
VERG-aene.1.519	correct		16	15	3
VERG-aene.1.520	correct		33	16	5
VERG-aene.1.521	correct		4	18	3
VERG-aene.1.522	correct		42	17	4
VERG-aene.1.523	correct		4	15	1
VERG-aene.1.524	correct		480	16	6
VERG-aene.1.525	correct		40	16	3
VERG-aene.1.526	correct		78	17	4
VERG-aene.1.527	correct		2	16	1
VERG-aene.1.528	correct		16	17	3
VERG-aene.1.529	correct		84	16	4
VERG-aene.1.530	gold_unreachable	elision_mismatch	5	15	2
VERG-aene.1.531	correct		1	17	3
VERG-aene.1.532	correct		59	16	4
VERG-aene.1.533	correct		6	15	1
VERG-aene.1.535	correct		5	15	2
VERG-aene.1.536	correct		2	19	3
VERG-aene.1.537	correct		1	17	2
VERG-aene.1.538	gold_unreachable	elision_mismatch	28	16	5
VERG-aene.1.539	no_candidates	weight_filter	0	17	3
VERG-aene.1.540	correct		8	18	5
VERG-aene.1.541	correct		6	15	2
VERG-aene.1.542	gold_unreachable	elision_mismatch	3	16	2
VERG-aene.1.543	correct		4	16	2
VERG-aene.1.544	correct		54	15	4
VERG-aene.1.545	correct		13	15	2
VERG-aene.1.546	correct		97	16	4
VERG-aene.1.547	gold_unreachable	elision_mismatch	4	18	4
VERG-aene.1.548	correct		5	15	2
VERG-aene.1.549	correct		12	17	3
VERG-aene.1.550	gold_unreachable	other	3	16	1
VERG-aene.1.551	correct		8	14	2
VERG-aene.1.552	correct		2	15	1
VERG-aene.1.553	correct		21	16	2
VERG-aene.1.554	correct		34	18	4
VERG-aene.1.555	correct		2	16	2
VERG-aene.1.556	gold_unreachable	elision_mismatch	1	15	2
VERG-aene.1.557	correct		5	16	2
VERG-aene.1.558	correct		19	15	2
VERG-aene.1.559	no_candidates	vowel_chain	0	17	2
VERG-aene.1.561	correct		13	15	3
VERG-aene.1.562	no_candidates	vowel_chain	0	17	4
VERG-aene.1.563	correct		55	16	4
VERG-aene.1.564	correct		36	14	2
VERG-aene.1.565	correct		42	17	4
VERG-aene.1.566	correct		6	17	5
VERG-aene.1.567	correct		27	16	3
VERG-aene.1.568	gold_unreachable	elision_mismatch	10	17	4
VERG-aene.1.569	gold_unreachable	elision_mismatch	8	17	6
VERG-aene.1.570	correct		28	16	3
VERG-aene.1.571	correct		277	18	6
VERG-aene.1.572	no_candidates	vowel_chain	0	15	0
VERG-aene.1.573	correct		190	15	6
VERG-aene.1.574	correct		13	16	3
VERG-aene.1.575	correct		2	16	2
VERG-aene.1.576	gold_unreachable	elision_mismatch	3	16	2
VERG-aene.1.577	correct		464	17	7
VERG-aene.1.578	correct		4	16	2
VERG-aene.1.579	no_candidates	weight_filter	0	15	1
VERG-aene.1.580	correct		20	16	3
VERG-aene.1.581	gold_unreachable	elision_mismatch	3	15	3
VERG-aene.1.582	correct		8	16	3
VERG-aene.1.583	correct		24	16	3
VERG-aene.1.584	gold_unreachable	elision_mismatch	18	15	3
VERG-aene.1.585	correct		2	13	1
VERG-aene.1.586	correct		3	15	1
VERG-aene.1.587	correct		3	16	1
VERG-aene.1.588	correct		20	16	3
VERG-aene.1.589	correct		3	17	2
VERG-aene.1.590	correct		102	18	7
VERG-aene.1.591	no_candidates	vowel_chain	0	17	3
VERG-aene.1.592	correct		2	18	3
VERG-aene.1.593	correct		2	16	2
VERG-aene.1.594	gold_unreachable	open_syllable_length	4	15	2
VERG-aene.1.595	correct		38	16	5
VERG-aene.1.596	correct		21	15	2
VERG-aene.1.597	correct		8	16	2
VERG-aene.1.598	gold_unreachable	elision_mismatch	11	16	3
VERG-aene.1.599	correct		8	17	3
VERG-aene.1.600	correct		23	15	2
VERG-aene.1.601	correct		16	16	3
VERG-aene.1.602	correct		8	16	3
VERG-aene.1.603	correct		5	15	1
VERG-aene.1.604	correct		103	16	5
VERG-aene.1.605	correct		6	18	4
VERG-aene.1.606	gold_unreachable	open_syllable_length	6	16	2
VERG-aene.1.607	correct		7	16	3
VERG-aene.1.608	correct		8	15	2
VERG-aene.1.609	no_candidates	weight_filter	0	16	2
VERG-aene.1.610	correct		6	16	3
VERG-aene.1.611	correct		159	17	6
VERG-aene.1.612	correct		8	15	3
VERG-aene.1.613	correct		41	15	3
VERG-aene.1.614	correct		58	17	4
VERG-aene.1.615	correct		9	15	1
VERG-aene.1.616	no_candidates	vowel_chain	0	16	3
VERG-aene.1.617	correct		118	17	7
VERG-aene.1.618	correct		16	17	3
